日期,媒体,计划名,消耗(元),曝光,点击,微转化数,首购订单数,首购GMV(元)
2024-04-01,小红书,小红书_种草_成分党,6173.84,153119,5310,,31,10416
2024-04-01,Bilibili,B站_美妆区_新品,3890.63,168810,3262,239,17,5712
2024-04-02,小红书,test_删我,1382.04,40017,1472,110,1,336
2024-04-02,百度信息流,LUMI_精华_拉新_v2,3538.91,146156,2574,257,11,1848
2024-04-03,巨量引擎,LUMI 精华 拉新,5514.98,133958,2885,308,22,11088
2024-04-03,小红书,小红书_种草_成分党,1917.61,49777,1166,75,4,2016
2024-04-04,百度信息流,LUMI_精华_拉新_v2,4541.04,141801,3768,181,27,9072
2024-04-04,Bilibili,B站_美妆区_新品_复制,4785.53,250899,3603,302,24,4032
2024-04-05,Bilibili,B站_美妆区_新品,4706.62,115639,1651,110,6,1008
2024-04-05,小红书,RED_LUMI_note,5303.06,197174,5685,503,17,5712
2024-04-06,小红书,RED_LUMI_note,3613.48,144186,3683,176,19,3192
2024-04-06,巨量引擎,LUMI_精华_拉新_v1,2865.08,71977,1170,54,9,4536
2024-04-07,巨量引擎,LUMI 精华 冷启动,2059.58,52081,783,69,6,3024
2024-04-07,腾讯广告,朋友圈_新品_首购,6105.98,175764,2507,261,9,1512
2024-04-08,百度信息流,LUMI_精华_拉新_v2,2033.40,92556,2224,155,10,5040
2024-04-08,腾讯广告,test_删我,1115.58,44889,572,53,0,0
2024-04-09,百度信息流,LUMI_精华_拉新_v2,2904.31,156445,3681,253,25,8400
2024-04-09,Bilibili,Bilibili_精华_测评,5312.57,280500,3441,287,12,4032
2024-04-10,小红书,RED_LUMI_note,3041.92,104377,3045,314,11,5544
2024-04-10,腾讯广告,LUMI精华液_新客_0501,5365.09,131251,2772,245,11,3696
2024-04-11,小红书,小红书_种草_成分党,3440.38,100159,2393,128,12,4032
2024-04-11,百度信息流,LUMI 精华 拉新,4701.62,167304,3865,241,27,4536
2024-04-12,巨量引擎,lumi-jh-laxin-3,5599.94,133556,3094,294,20,10080
2024-04-12,Bilibili,Bilibili_精华_测评,6432.21,328929,3760,249,11,5544
2024-04-13,腾讯广告,LUMI精华液_新客_0501,2369.40,73483,930,59,6,3024
2024-04-13,百度信息流,LUMI_精华_拉新_v2,2104.77,90745,2084,148,9,3024
2024-04-14,百度信息流,LUMI_精华_拉新_v2_复制,5319.41,128829,3466,396,22,7392
2024-04-14,Bilibili,Bilibili_精华_测评,3199.29,95690,998,91,4,1344
2024-04-15,百度信息流,test_删我,1813.82,66734,1361,117,2,672
2024-04-15,小红书,小红书_种草_成分党,5139.44,219091,6938,,35,11760
2024-04-16,Bilibili,Bilibili_精华_测评,3675.94,154478,3097,237,14,2352
2024-04-16,巨量引擎,LUMI 精华 冷启动,3384.72,160624,3805,381,22,7392
2024-04-17,小红书,RED_LUMI_note,4542.73,218761,6105,361,23,3864
2024-04-17,巨量引擎,LUMI 精华 冷启动,2018.09,55717,826,76,6,2016
2024-04-18,腾讯广告,朋友圈_新品_首购,5059.23,166167,3843,287,21,7056
2024-04-18,巨量引擎,lumi-jh-laxin-3,5743.48,158589,2842,305,17,5712
2024-04-19,百度信息流,LUMI_精华_拉新_v2,4295.36,141537,3450,298,24,4032
2024-04-19,巨量引擎,LUMI_精华_拉新_v1,5023.96,148016,3485,335,28,9408
2024-04-20,小红书,LUMI 精华 拉新,2589.66,115123,3963,287,15,7560
2024-04-20,腾讯广告,LUMI精华液_新客_0501,3378.49,103829,1509,85,11,1848
2024-04-21,Bilibili,B站_美妆区_新品,4186.91,168555,2640,238,17,5712
2024-04-21,百度信息流,test_删我,1971.89,52596,845,#N/A,2,672
2024-04-22,巨量引擎,LUMI 精华 冷启动,3167.56,137260,2703,307,18,6048
2024-04-22,小红书,小红书_种草_成分党,1811.11,93422,3222,307,10,1680
2024-04-23,Bilibili,Bilibili_精华_测评,3088.30,102953,2092,152,9,4536
2024-04-23,巨量引擎,LUMI_精华_拉新_v1_复制,4354.62,109722,1612,145,9,4536
2024-04-24,腾讯广告,LUMI精华液_新客_0501,5122.06,140892,3020,190,12,2016
2024-04-24,小红书,RED_LUMI_note,6592.01,172830,4954,544,16,8064
2024-04-25,小红书,小红书_种草_成分党,3287.87,104599,2580,200,10,3360
2024-04-25,百度信息流,LUMI_精华_拉新_v2,6570.13,172549,3489,183,18,9072
2024-04-26,百度信息流,LUMI_精华_拉新_v2,4365.74,111468,2026,153,11,5544
2024-04-26,Bilibili,B站_美妆区_新品,5953.47,194607,3793,250,21,3528
2024-04-27,小红书,小红书_种草_成分党,5249.60,212393,6167,518,37,6216
2024-04-27,腾讯广告,LUMI精华液_新客_0501,2489.47,60878,1301,112,6,1008
2024-04-28,百度信息流,test_删我,1795.53,49033,1061,112,1,168
2024-04-28,巨量引擎,LUMI 精华 拉新,4261.26,129920,1830,182,13,4368
2024-04-29,百度信息流,LUMI_精华_拉新_v2,4399.48,107334,2232,252,8,2688
2024-04-29,小红书,小红书_种草_成分党,2733.90,108700,3843,384,16,5376
2024-04-30,巨量引擎,lumi-jh-laxin-3,5912.46,156094,2856,,21,3528
2024-04-30,腾讯广告,朋友圈_新品_首购,5189.70,138591,2911,149,20,3360
2024-05-01,巨量引擎,LUMI 精华 冷启动,5240.27,278867,4873,487,33,11088
2024-05-01,小红书,小红书_种草_成分党,2848.44,111396,2607,217,11,5544
2024-05-02,小红书,RED_LUMI_note,3593.80,109035,2884,212,17,5712
2024-05-02,百度信息流,百度信息流_成分党,5026.64,222538,5893,457,36,6048
2024-05-03,Bilibili,Bilibili_精华_测评_复制,6249.77,177566,3559,271,13,2184
2024-05-03,腾讯广告,LUMI精华液_新客_0501,3475.67,126246,2526,210,9,1512
2024-05-04,Bilibili,B站_美妆区_新品,5161.01,230175,2441,214,13,4368
2024-05-04,小红书,test_删我,1660.46,57317,1792,149,2,672
2024-05-05,巨量引擎,LUMI_精华_拉新_v1,5977.79,204312,3004,250,22,11088
2024-05-05,Bilibili,Bilibili_精华_测评,4761.69,130758,2331,170,9,4536
2024-05-06,腾讯广告,LUMI精华液_新客_0501,3511.71,120412,1475,76,7,1176
2024-05-06,巨量引擎,LUMI_精华_拉新_v1,3055.43,82976,1840,204,12,2016
2024-05-07,百度信息流,LUMI 精华 拉新,4676.50,131732,2968,159,13,2184
2024-05-07,巨量引擎,LUMI 精华 冷启动,2700.92,129225,3358,249,21,7056
2024-05-08,百度信息流,LUMI_精华_拉新_v2,3592.96,99034,1772,146,8,2688
2024-05-08,小红书,RED_LUMI_note,1869.86,52379,1579,105,10,1680
2024-05-09,Bilibili,Bilibili_精华_测评,3263.30,151045,2355,196,12,4032
2024-05-09,百度信息流,LUMI_精华_拉新_v2,3127.28,108743,2164,191,16,5376
2024-05-10,腾讯广告,朋友圈_新品_首购,3084.14,93892,1697,116,9,3024
2024-05-10,巨量引擎,LUMI_精华_拉新_v1,5877.23,231066,5526,441,42,7056
2024-05-11,Bilibili,test_删我,1454.64,48928,1001,78,1,504
2024-05-11,小红书,小红书_种草_成分党,3439.11,178769,6120,610,36,12096
2024-05-12,Bilibili,Bilibili_精华_测评,6389.60,184510,1870,#N/A,6,1008
2024-05-12,百度信息流,百度信息流_成分党_复制,6074.95,186582,4464,326,18,3024
2024-05-13,腾讯广告,LUMI精华液_新客_0501,5261.59,206911,2758,259,16,5376
2024-05-13,小红书,RED_LUMI_note,3952.77,137171,3410,316,12,2016
2024-05-14,腾讯广告,LUMI精华液_新客_0501,4290.94,146719,3506,239,13,4368
2024-05-14,巨量引擎,LUMI 精华 冷启动,4832.75,131157,2788,,20,10080
2024-05-15,Bilibili,Bilibili_精华_测评,1938.36,51272,860,42,3,1008
2024-05-15,百度信息流,LUMI 精华 拉新,3800.97,131859,3301,179,19,3192
